145
 0.000	 0.000
 1.000	 0.000
 1.000	 1.000
 0.000	 1.000
 0.125	 0.000
 0.250	 0.000
 0.375	 0.000
 0.500	 0.000
 0.625	 0.000
 0.750	 0.000
 0.875	 0.000
 1.000	 0.125
 1.000	 0.250
 1.000	 0.375
 1.000	 0.500
 1.000	 0.625
 1.000	 0.750
 1.000	 0.875
 0.875	 1.000
 0.750	 1.000
 0.625	 1.000
 0.500	 1.000
 0.375	 1.000
 0.250	 1.000
 0.125	 1.000
 0.000	 0.875
 0.000	 0.750
 0.000	 0.625
 0.000	 0.500
 0.000	 0.375
 0.000	 0.250
 0.000	 0.125
 0.500	 0.500
 0.750	 0.250
 0.250	 0.250
 0.250	 0.750
 0.750	 0.750
 0.375	 0.125
 0.125	 0.125
 0.625	 0.125
 0.500	 0.250
 0.875	 0.125
 0.625	 0.375
 0.375	 0.375
 0.125	 0.375
 0.250	 0.500
 0.125	 0.625
 0.375	 0.625
 0.125	 0.875
 0.875	 0.375
 0.875	 0.625
 0.750	 0.500
 0.875	 0.875
 0.625	 0.625
 0.625	 0.875
 0.375	 0.875
 0.500	 0.750
 0.188	 0.062
 0.062	 0.062
 0.312	 0.062
 0.250	 0.125
 0.438	 0.062
 0.312	 0.188
 0.188	 0.188
 0.562	 0.062
 0.500	 0.125
 0.562	 0.188
 0.438	 0.188
 0.688	 0.188
 0.625	 0.250
 0.375	 0.250
 0.688	 0.062
 0.812	 0.062
 0.750	 0.125
 0.938	 0.062
 0.812	 0.188
 0.438	 0.312
 0.312	 0.312
 0.562	 0.312
 0.500	 0.375
 0.688	 0.312
 0.562	 0.438
 0.438	 0.438
 0.062	 0.188
 0.125	 0.250
 0.062	 0.312
 0.188	 0.312
 0.062	 0.438
 0.250	 0.375
 0.188	 0.438
 0.188	 0.562
 0.125	 0.500
 0.250	 0.625
 0.188	 0.688
 0.062	 0.562
 0.312	 0.438
 0.375	 0.500
 0.312	 0.562
 0.438	 0.562
 0.312	 0.688
 0.062	 0.688
 0.125	 0.750
 0.062	 0.812
 0.188	 0.812
 0.062	 0.938
 0.938	 0.188
 0.938	 0.312
 0.875	 0.250
 0.938	 0.438
 0.812	 0.312
 0.938	 0.562
 0.875	 0.500
 0.812	 0.562
 0.812	 0.438
 0.812	 0.688
 0.750	 0.625
 0.750	 0.375
 0.938	 0.688
 0.938	 0.812
 0.875	 0.750
 0.938	 0.938
 0.812	 0.812
 0.688	 0.438
 0.688	 0.562
 0.625	 0.500
 0.688	 0.688
 0.562	 0.562
 0.812	 0.938
 0.688	 0.938
 0.750	 0.875
 0.562	 0.938
 0.688	 0.812
 0.438	 0.938
 0.500	 0.875
 0.438	 0.812
 0.562	 0.812
 0.312	 0.812
 0.375	 0.750
 0.625	 0.750
 0.312	 0.938
 0.188	 0.938
 0.250	 0.875
 0.562	 0.688
 0.438	 0.688
 0.500	 0.625
